gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
paaG,0.121673004,7.522644177,FALSE,TRUE,FALSE
paaH,0.105042017,5.564712668,FALSE,TRUE,FALSE
paaI,0.172576832,12.85158469,FALSE,TRUE,FALSE
paaJ,0.121890547,7.547354071,FALSE,TRUE,FALSE
paaK,0.125570776,7.96224329,FALSE,TRUE,FALSE
paaX,0.123028391,7.676255903,FALSE,TRUE,FALSE
paaY,0.208121827,16.19713089,FALSE,TRUE,FALSE
ynbG,0,-172.1619602,TRUE,FALSE,FALSE
ydbA,0.267029523,21.33717316,FALSE,TRUE,FALSE
insD1,0.431567329,34.26466536,FALSE,TRUE,FALSE
insC1,0.43989071,34.88434287,FALSE,TRUE,FALSE
insI1,0.307291667,24.65243586,FALSE,TRUE,FALSE
ydbC,0.191637631,14.67429228,FALSE,TRUE,FALSE
ydbD,0.275682705,22.0609928,FALSE,TRUE,FALSE
ynbA,0.303630363,24.35614754,FALSE,TRUE,FALSE
ynbB,0.179487179,13.52086019,FALSE,TRUE,FALSE
ynbC,0.147326507,10.30861457,FALSE,TRUE,FALSE
ynbD,0.124516628,7.843999926,FALSE,TRUE,FALSE
azoR,0.102310231,5.228495927,FALSE,TRUE,FALSE
hrpA,0.083781706,2.808712014,FALSE,FALSE,TRUE
ydcF,0.163545568,11.96075789,FALSE,TRUE,FALSE
aldA,0.120138889,7.347785068,FALSE,TRUE,FALSE
gapC,0.093812375,4.151242673,FALSE,TRUE,FALSE
cybB,0.116760829,6.958909739,FALSE,TRUE,FALSE
ydcA,0.137931034,9.315853204,FALSE,TRUE,FALSE
hokB,0.24,19.02922852,FALSE,TRUE,FALSE
mokB,0.196428571,15.12158352,FALSE,TRUE,FALSE
trg,0.137720902,9.29331378,FALSE,TRUE,FALSE
ydcI,0.147186147,10.29399052,FALSE,TRUE,FALSE
ydcJ,0.110119048,6.177855062,FALSE,TRUE,FALSE
opgD,0.13647343,9.159187296,FALSE,TRUE,FALSE
ydcH,0.106666667,5.762530724,FALSE,TRUE,FALSE
rimL,0.124074074,7.794217979,FALSE,TRUE,FALSE
ydcK,0.096839959,4.540791984,FALSE,TRUE,FALSE
tehA,0.13897281,9.427371574,FALSE,TRUE,FALSE
tehB,0.173400673,12.93191539,FALSE,TRUE,FALSE
ydcL,0.139013453,9.431714691,FALSE,TRUE,FALSE
insP,0.127314815,8.156851482,FALSE,TRUE,FALSE
insQ,0.113141862,6.536147218,FALSE,TRUE,FALSE
ydcO,0.098639456,4.769236791,FALSE,TRUE,FALSE
ydcN,0.094972067,4.301246931,FALSE,TRUE,FALSE
ydcP,0.105504587,5.621194406,FALSE,TRUE,FALSE
yncJ,0.112554113,6.466859534,FALSE,TRUE,FALSE
hicA,0.129943503,8.447838054,FALSE,TRUE,FALSE
hicB,0.091127098,3.799982991,FALSE,TRUE,FALSE
ydcR,0.115849325,6.853043743,FALSE,TRUE,FALSE
ydcS,0.160558464,11.66178065,FALSE,TRUE,FALSE
ydcT,0.121301775,7.480428794,FALSE,TRUE,FALSE
ydcU,0.128450106,8.28286348,FALSE,TRUE,FALSE
ydcV,0.095597484,4.381732647,FALSE,TRUE,FALSE
patD,0.105964912,5.677275785,FALSE,TRUE,FALSE
yncL,0.125,7.898277946,FALSE,TRUE,FALSE
ydcX,0.074712644,1.513362881,FALSE,FALSE,TRUE
ydcY,0.128205128,8.255716103,FALSE,TRUE,FALSE
ydcZ,0.1,4.940490807,FALSE,TRUE,FALSE
mnaT,0.111753372,6.37217232,FALSE,TRUE,FALSE
curA,0.177263969,13.30664689,FALSE,TRUE,FALSE
mcbR,0.298798799,23.96368072,FALSE,TRUE,FALSE
yncD,0.168330956,12.43515709,FALSE,TRUE,FALSE
yncE,0.125235405,7.924675796,FALSE,TRUE,FALSE
ansP,0.137333333,9.25170147,FALSE,TRUE,FALSE
yncG,0.229773463,18.1350704,FALSE,TRUE,FALSE
yncH,0.014084507,-13.1174424,TRUE,FALSE,FALSE
rhsE,0.275895925,22.0787442,FALSE,TRUE,FALSE
ydcD,0.028985507,-7.460166058,TRUE,FALSE,FALSE
yncI,0.097815764,4.66494785,FALSE,TRUE,FALSE
ydcC,0.242744063,19.26706813,FALSE,TRUE,FALSE
pptA,0.243589744,19.34019561,FALSE,TRUE,FALSE
yddH,0.180701754,13.63745801,FALSE,TRUE,FALSE
