septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.498,1.5208,1.042,70,22,38,32,6.1355,3.1857,26,2.9498,0.6357,2200054,2200067
0.5203,1.3989,1.3025,66,28,26,40,6.3819,3.0557,34,3.3263,0.63,2200067,2200084
0.4987,1.3784,1.2064,70,18,30,40,6.2569,3.3207,28,2.9362,0.659,2200084,2200098
0.459,1.3674,0.946,72,16,38,34,5.5388,2.6721,32,2.8667,0.6587,2200138,2200154
0.4994,1.5466,1.1051,58,22,30,28,4.9613,2.9928,20,1.9685,0.6854,2222059,2222069
0.4932,1.3562,1.073,62,20,26,36,5.2721,2.4777,32,2.7944,0.658,2222069,2222085
0.5253,1.3792,1.1701,64,18,32,32,5.3563,2.6,30,2.7563,0.6686,2222085,2222100
0.5113,1.3843,1.1375,66,26,30,36,5.7259,2.8138,30,2.9121,0.6634,2222100,2222115
0.5105,1.3558,1.138,68,24,34,34,6.1445,2.9279,32,3.2166,0.6422,2222115,2222131
0.5,1.3877,1.2189,64,24,22,42,5.8514,3.1369,26,2.7146,0.6457,2222131,2222144
0.5,1.3588,1.1701,66,22,30,36,5.8558,2.9257,30,2.9301,0.6546,2222144,2222159
0.4878,1.4577,1.0736,66,24,34,32,5.33,2.4836,32,2.8464,0.6258,2244054,2244070
0.4985,1.2918,1.0892,64,26,20,44,4.824,2.6,28,2.224,0.6874,2244070,2244084
0.5135,1.4265,0.9934,70,20,36,34,4.9433,2.405,30,2.5383,0.6792,2244084,2244099
0.4733,1.5227,1.1556,66,26,24,42,6.1816,2.5383,34,3.6432,0.681,2244099,2244116
0.5003,1.4916,0.9924,66,22,36,30,5.3332,2.9257,24,2.4074,0.6936,2244116,2244128
0.554,1.5003,1.0582,66,20,32,34,5.5457,2.6682,28,2.8775,0.6861,2244128,2244142
0.4939,1.3227,1.1867,74,18,36,38,6.1981,2.8865,36,3.3116,0.7129,3009053,3009071
0.4566,1.3305,1.105,86,22,32,54,7.5507,3.0612,40,4.4895,0.7159,3009071,3009091
0.4751,1.3071,1.0889,74,22,34,40,5.3376,3.4475,20,1.8902,0.6983,3009091,3009101
0.4705,1.2785,1.073,86,16,48,38,6.5068,2.5358,42,3.971,0.7296,3009101,3009122
0.5083,1.3806,1.2839,66,18,24,42,6.3943,3.191,30,3.2033,0.6923,3017078,3017093
0.5156,1.5137,1.2035,66,18,26,40,6.0515,3.25,26,2.8015,0.6868,3017093,3017106
0.4937,1.5694,1.1538,58,18,36,22,5.1498,3.12,20,2.0298,0.6687,3017106,3017116
0.506,1.4183,1.0889,62,14,28,34,5.3966,2.5425,30,2.8541,0.6814,3017116,3017131
0.511,1.4117,1.2514,66,26,24,42,6.1272,3.1877,28,2.9395,0.6417,3046081,3046095
0.5185,1.4709,1.1394,62,18,28,34,5.2714,3.1308,22,2.1406,0.7023,3046095,3046106
0.5473,1.331,1.0574,62,14,32,30,4.8821,2.7331,26,2.149,0.6474,3046106,3046119
0.4941,1.3691,1.1542,64,24,30,34,5.434,3.0153,24,2.4187,0.7074,3061040,3061052
0.501,1.4177,1.0918,68,20,26,42,5.8745,2.6847,32,3.1897,0.7063,3061052,3061068
0.5103,1.4022,1.0907,68,16,28,40,5.7328,2.943,28,2.7898,0.7286,3061068,3061082
0.5015,1.3311,1.0564,72,20,24,48,5.868,2.9257,32,2.9423,0.7333,3061082,3061098
0.5176,1.5157,1.027,62,16,28,34,5.525,2.8071,26,2.7179,0.7188,3061124,3061137
0.5301,1.2812,0.996,68,10,26,42,5.8098,2.86,32,2.9498,0.7046,3061137,3061153
0.4813,1.5954,0.8619,70,12,42,28,5.6738,2.9928,24,2.6809,0.7382,3068054,3068066
0.5139,1.5471,0.8614,64,12,32,32,4.68,2.7308,22,1.9492,0.7163,3068066,3068077
0.4787,1.4566,1.1055,60,16,22,38,5.0261,2.405,30,2.6211,0.7381,3068077,3068092
0.5135,1.5394,1.2095,62,26,22,40,6.182,2.843,32,3.339,0.7256,3068136,3068152
0.4803,1.411,1.2029,70,26,26,44,6.5086,3.1744,34,3.3342,0.7344,3068152,3068169
0.4881,1.5267,0.9425,72,20,30,42,5.7272,2.4734,32,3.2538,0.6973,3075034,3075050
0.4937,1.4454,1.0249,64,20,28,36,4.7566,2.7958,24,1.9609,0.6855,3075050,3075062
0.4993,1.4248,1.0582,62,22,32,30,4.7025,2.3481,28,2.3544,0.6863,3075062,3075076
0.5279,1.4287,1.0564,64,18,32,32,4.827,2.3481,30,2.4789,0.7,3075076,3075091
0.5031,1.3628,1.1741,62,28,32,30,5.5008,2.5483,32,2.9525,0.7071,3075091,3075107
0.5019,1.5945,1.1214,60,28,36,24,5.5368,2.7677,26,2.7691,0.7389,3075107,3075120
0.4967,1.4806,1.1217,60,26,30,30,5.5214,2.7791,28,2.7424,0.7174,3075120,3075134
0.4926,1.388,1.073,60,18,28,32,4.9103,2.7424,24,2.168,0.7199,3075134,3075146
0.5128,1.509,1.1385,58,22,26,32,5.0717,2.419,28,2.6527,0.7072,3075146,3075160
0.4788,1.5162,1.1867,64,24,34,30,5.9979,2.99,28,3.0079,0.7084,3082039,3082053
0.5037,1.4441,1.0108,66,20,36,30,5.2973,2.47,32,2.8273,0.6363,3082091,3082107
0.507,1.3791,1.1394,66,26,22,44,5.5371,2.6682,32,2.8689,0.6448,3082107,3082123
0.5061,1.2571,1.2035,66,28,30,36,5.5288,2.8071,30,2.7217,0.6577,3082123,3082138
0.4724,1.3905,1.0745,74,22,32,42,6.1912,2.798,34,3.3932,0.6588,3082138,3082155
0.481,1.3959,1.2192,58,28,34,24,5.1366,2.7493,26,2.3874,0.6895,3104064,3104077
0.5155,1.4188,1.0907,68,18,32,36,5.9268,2.4709,34,3.4559,0.6681,3104077,3104094
0.503,1.423,1.1061,66,20,32,34,5.6298,3.055,26,2.5748,0.7048,3104094,3104107
0.4877,1.4016,1.042,62,22,30,32,4.9479,2.8318,24,2.1161,0.6942,3104107,3104119
0.4519,1.5182,1.171,56,20,28,28,4.7492,2.4129,26,2.3363,0.7055,3104119,3104132
0.5065,1.4299,1.1873,66,22,34,32,5.2754,2.146,38,3.1294,0.7067,3104132,3104151
0.4579,1.5875,1.1223,68,24,32,36,5.3966,2.6721,28,2.7245,0.7043,3104151,3104165
0.494,1.2607,1.2354,58,12,28,30,5.3225,3.3806,22,1.9418,0.6908,3112060,3112071
